image,prediction
AHareandaLegofLamb.png,Italian
ALandscapewithaRuinedCastleandaChurch.png,Italian
AMother_sDuty.png,Italian
AMusicianandHisDaughter.png,Italian
AViewthroughThreeoftheNorth-WesternArchesoftheThirdStoreyoftheColiseum.png,Italian
AWalkAroundtheHotelCourtyard_Acatlan.png,Italian
AbrahamLincoln_Healy_.png,Italian
AdorationoftheNameofGod.png,Italian
AgonyintheGarden_Bellini_.png,Italian
AlexanderHamilton_Trumbull_.png,Italian
AllegoryofPrudence.png,Italian
AloneintheWorld_Bouguereau_.png,Italian
AmericanProgress.png,Italian
AnEpisodefromtheRussianCampaign.png,Italian
AndromedaChainedtotheRocks.png,Italian
Annunciation_FilippoLippi_London_.png,Italian
Annunciation_Lochner_.png,Italian
Annunciation_churchofSanSalvador_.png,Italian
AnnunciationwithStJohntheBaptistandStAndrew.png,Italian
AqueductnearRome.png,Italian
Asni_res_VanGoghseries_.png,Italian
AssumptionoftheVirgin_AndreadelCastagno_.png,Italian
AttheMoulinRouge_TheDance.png,Italian
AveroldiPolyptych.png,Italian
BaptismofChrist_Mantegna_.png,Italian
BattleofVigoBay_painting_.png,Italian
BenoisMadonna.png,Italian
BentivoglioAltarpiece.png,Italian
Bouquetpr_sdelafen_tre.png,Italian
BoyCarryingaSword.png,Italian
BoyPeelingFruit_Caravaggio_.png,Italian
BrokenEggs_MetropolitanMuseumofArt_.png,Italian
CairninSnow.png,Italian
CannonRock_painting_.png,Italian
Cashmere_painting_.png,Italian
CasparDavidFriedrichinhisStudio.png,Italian
CharlesIIinarmor.png,Italian
ChristCarryingtheCross_Bosch_Ghent_.png,Italian
ChristFallingontheWaytoCalvary.png,Italian
Christina_sWorld.png,Italian
ChristofSaintJohnoftheCross.png,Italian
ChristontheCrosswithMaryandStJohn.png,Italian
CleopatraTestingPoisonsonCondemnedPrisoners.png,Italian
Cleopatra_ArtemisiaGentileschi_Ferrara_.png,Italian
CollinsSt__5pm.png,Italian
ComtessedelaCh_tre.png,Italian
ConsultingtheOracle.png,Italian
CowsintheMeadow.png,Italian
Crucifixion_PeruginoandSignorelli_.png,Italian
CrucifixionbetweenSts_JeromeandChristopher.png,Italian
CrucifixionofSaintPeter_Caravaggio_.png,Italian
DavidandUriah.png,Italian
