image,prediction
AHareandaLegofLamb.png,religious
ALandscapewithaRuinedCastleandaChurch.png,religious
AMother_sDuty.png,religious
AMusicianandHisDaughter.png,religious
AViewthroughThreeoftheNorth-WesternArchesoftheThirdStoreyoftheColiseum.png,religious
AWalkAroundtheHotelCourtyard_Acatlan.png,religious
AbrahamLincoln_Healy_.png,religious
AdorationoftheNameofGod.png,religious
AgonyintheGarden_Bellini_.png,religious
AlexanderHamilton_Trumbull_.png,religious
AllegoryofPrudence.png,religious
AloneintheWorld_Bouguereau_.png,religious
AmericanProgress.png,religious
AnEpisodefromtheRussianCampaign.png,religious
AndromedaChainedtotheRocks.png,religious
Annunciation_FilippoLippi_London_.png,religious
Annunciation_Lochner_.png,religious
Annunciation_churchofSanSalvador_.png,religious
AnnunciationwithStJohntheBaptistandStAndrew.png,religious
AqueductnearRome.png,religious
Asni_res_VanGoghseries_.png,religious
AssumptionoftheVirgin_AndreadelCastagno_.png,religious
AttheMoulinRouge_TheDance.png,religious
AveroldiPolyptych.png,religious
BaptismofChrist_Mantegna_.png,religious
BattleofVigoBay_painting_.png,religious
BenoisMadonna.png,religious
BentivoglioAltarpiece.png,religious
Bouquetpr_sdelafen_tre.png,religious
BoyCarryingaSword.png,religious
BoyPeelingFruit_Caravaggio_.png,religious
BrokenEggs_MetropolitanMuseumofArt_.png,religious
CairninSnow.png,religious
CannonRock_painting_.png,religious
Cashmere_painting_.png,religious
CasparDavidFriedrichinhisStudio.png,religious
CharlesIIinarmor.png,religious
ChristCarryingtheCross_Bosch_Ghent_.png,religious
ChristFallingontheWaytoCalvary.png,religious
Christina_sWorld.png,religious
ChristofSaintJohnoftheCross.png,religious
ChristontheCrosswithMaryandStJohn.png,religious
CleopatraTestingPoisonsonCondemnedPrisoners.png,religious
Cleopatra_ArtemisiaGentileschi_Ferrara_.png,religious
CollinsSt__5pm.png,religious
ComtessedelaCh_tre.png,religious
ConsultingtheOracle.png,religious
CowsintheMeadow.png,religious
Crucifixion_PeruginoandSignorelli_.png,religious
CrucifixionbetweenSts_JeromeandChristopher.png,religious
CrucifixionofSaintPeter_Caravaggio_.png,religious
DavidandUriah.png,religious
DeadChristSupportedbyTwoAngels.png,religious
DianaandCallisto.png,religious
Dreamvision_paintings_.png,religious
DresdenFromtheRightBankoftheElbeAbovetheAugustusBridge.png,religious
DynamismofaHumanBody_Boxer.png,religious
EarlyEveningLandscape.png,religious
EcceHomo_Bosch_1490s_.png,religious
EcceHomo_Caravaggio_.png,religious
EightBells_painting_.png,religious
EllenTerryasLadyMacbeth.png,religious
EquestrianPortraitofElisabethofFrance.png,religious
ErasistratusDiscoveringtheCauseofAntiochus_Disease.png,religious
Espa_ayFilipinas.png,religious
EstherbeforeAhasuerus.png,religious
EveningatKuerners.png,religious
F_tesV_nitiennes.png,religious
FallingAutumnLeaves.png,religious
FloodPlain_painting_.png,religious
Flora_Titian_.png,religious
Forest_painting_.png,religious
Fortitude_Botticelli_.png,religious
FreedomofWorship_painting_.png,religious
Gabrielled_Estr_esetunedesess_urs.png,religious
GalaxyofMusicians.png,religious
GirlbeforeaMirror.png,religious
GirlinaWhiteKimono.png,religious
GirlsatthePiano.png,religious
GirlwithBall.png,religious
GirlwithaPearlEarring.png,religious
GloucesterHarbor_WilliamMorrisHunt_.png,religious
GreeceontheRuinsofMissolonghi.png,religious
Habokusansui.png,religious
HamptonCourtBeauties.png,religious
HandwithReflectingSphere.png,religious
HeadofaCatalanPeasant.png,religious
HeadofaWoman_Delacroix_.png,religious
HelenofTroy_painting_.png,religious
HolyFamilywithaFemaleSaint_Mantegna_.png,religious
HopeII.png,religious
Hunter_sRoom.png,religious
InteriorwithaMotherclosetoaCradle.png,religious
IntheLoge.png,religious
ItalianWomanwithChildrenbyaStream.png,religious
JosephtheCarpenter.png,religious
Jupiter_NeptuneandPluto.png,religious
LaBelleZ_lie.png,religious
LaGloria_Titian_.png,religious
LaGrenouill_re_Renoir_.png,religious
LaReconquistadeBuenosAires.png,religious
Labaigneuseblonde_1881_.png,religious
LabarcadeAqueronte.png,religious
LamentationofChrist_Mantegna_.png,religious
LandscapeNearFigueras.png,religious
LandscapewithPsycheOutsidethePalaceofCupid.png,religious
LandscapewithTwoNymphs.png,religious
LandscapewithWaterfall.png,religious
LasDamasRomanas.png,religious
LasHilanderas_Vel_zquez_.png,religious
LastSupper_Cranach_.png,religious
LaughingBoy_painting_.png,religious
LeFumeur.png,religious
LePontdel_Europe.png,religious
LeTravailinterrompu.png,religious
Leconcertchamp_tre.png,religious
Lego_ter_TeaTime_.png,religious
Lennuk_Triik_.png,religious
LesAlyscamps.png,religious
Levieillard_Pourtau_.png,religious
Levioloncelliste.png,religious
Liberation_painting_.png,religious
LimitsofReason_PaulKlee_.png,religious
LithuanianGirlwithPalmSundayFronds.png,religious
LittleBlueHorse.png,religious
LunchattheRestaurantFournaise.png,religious
MadonnaAdoringtheSleepingChristChild.png,religious
MadonnaandChildEnthroned_FilippoLippi_.png,religious
MadonnaandChild_Bellini_Venice_1475_.png,religious
MadonnaandChildwithStJohntheBaptistandStCatherineofAlexandria.png,religious
Madonnadellatenda.png,religious
MadonnaofDivineLove.png,religious
MadonnaoftheMagnificat.png,religious
MadonnaoftheRoseBower.png,religious
MadonnawiththeLongNeck.png,religious
ManwithaGlove.png,religious
MarcusCuriusDentatusrefusesthegiftsoftheSamnites.png,religious
MarriageoftheVirgin_Perugino_.png,religious
MarsandVenuswithCupidandaDog.png,religious
MarshyLandscape.png,religious
MartinengoAltarpiece.png,religious
MartyrdomoftheTenThousand.png,religious
MetamorphosisofNarcissus.png,religious
MetaphysicalInteriorwithLargeFactory.png,religious
Metempsychosis_YokoyamaTaikan_.png,religious
MissBentham.png,religious
MissNightingaleatScutari_1854.png,religious
MoreelTriptych.png,religious
MosesLeavingforEgypt_Perugino_.png,religious
MrandMrsAndrews.png,religious
NudewithDressingGown.png,religious
OedipusandtheSphinx_Ingres_.png,religious
OntheWallabyTrack.png,religious
Ophelia_JohnWilliamWaterhouse_.png,religious
OverMyDeadBody_RamonCasas_.png,religious
OvertheTop_painting_.png,religious
ParisStreet_RainyDay.png,religious
PastoralConcert.png,religious
PerseusandAndromeda_Rubens_.png,religious
PerugiaAltarpiece.png,religious
Piet__Perugino_.png,religious
PinkandBlue_Renoir_.png,religious
PlacedelaConcorde_painting_.png,religious
PoldiPezzoliMadonna.png,religious
PortraitofAlviseCornaro.png,religious
PortraitofCarolineMurat_QueenofNaples.png,religious
PortraitofChaliapin.png,religious
PortraitofChristinaofDenmark.png,religious
PortraitofDo_aIsabeldeRequesensyEnr_quezdeCardona-Anglesola.png,religious
PortraitofElisabettaGonzaga.png,religious
PortraitofFranciscoLezcano.png,religious
PortraitofGerarddeLairesse.png,religious
PortraitofGuidobaldodaMontefeltro.png,religious
PortraitofJuandePareja.png,religious
PortraitofLeslieW_Miller.png,religious
PortraitofMadameDuvaucey.png,religious
PortraitofMarchesaBrigidaSpinola-Doria.png,religious
PortraitofProfessorBenjaminH_Rand.png,religious
PortraitofVincentNubiola.png,religious
PortraitofaCardinal_Raphael_.png,religious
PortraitofaLargeDog.png,religious
PortraitofaManHoldingGloves.png,religious
PortraitofaMan_Rembrandt_NewYork_.png,religious
PortraitofaWoman_vanderWeyden_.png,religious
PortraitofaYoungManwithaBook_Bronzino_.png,religious
PortraitoftheArtist_sFamily.png,religious
PortraitoftheCount-DukeofOlivares_Hermitage_.png,religious
PortraitoftheDukeofWellington.png,religious
Portraitofthegem-cutterDionysioMiseroniandhisfamily.png,religious
PrinceBalthasarCharleswithaDwarf.png,religious
PrisonInterior.png,religious
ProfilePortraitofaLady.png,religious
PrometheusBeingChainedbyVulcan.png,religious
PrometheusBound_Rubens_.png,religious
PunishmentoftheSonsofCorah.png,religious
RebeccaandEliezerattheWell.png,religious
RegattaatSainte-Adresse_Monet_.png,religious
RestontheFlightintoEgypt_David_RoyalMuseumofFineArtsAntwerp_.png,religious
Rhythms_Delaunay_.png,religious
RomanCapriccio_ThePantheonandOtherMonuments.png,religious
RoughSeaataJetty.png,religious
SaintBarbara_vanEyck_.png,religious
SaintGeorgeandtheDragon_Uccello_.png,religious
SaintJeromeHearstheTrumpetoftheLastJudgment.png,religious
SaintJeromeandtheAngelofJudgement.png,religious
SaintJohntheEvangelist_Domenichino_.png,religious
SaintJohntheEvangelist_ElGreco_Madrid_.png,religious
SaintSebastianTendedbySaintIrene_HendrickterBrugghen_.png,religious
SanPietroMartireTriptych.png,religious
SansepolcroAltarpiece.png,religious
Sant_AntonioAbate_MattiaPreti_.png,religious
SceneattheSigningoftheConstitutionoftheUnitedStates.png,religious
Seine_VanGoghseries_.png,religious
Self-PortraitAged24.png,religious
Self-PortraitwithBandagedEar.png,religious
Self-PortraitwithPalette_Manet_.png,religious
Self-PortraitwithaFriend.png,religious
ShepherdessSeatedonaRock.png,religious
SibyllaSambetha.png,religious
SixtusIVAppointingPlatinaasPrefectoftheVaticanLibrary.png,religious
SkittlePlayersoutsideanInn.png,religious
SlaughteredOx.png,religious
SleepingCupid_Caravaggio_.png,religious
SleepingVenus_Giorgione_.png,religious
SouvenirdeMortefontaine.png,religious
SpedalingoAltarpiece.png,religious
SpelloPiet_.png,religious
StHughintheCarthusianRefectory.png,religious
St_JeromeintheWilderness_D_rer_.png,religious
St_Michael_Raphael_.png,religious
StageFortacrossGloucesterHarbor.png,religious
StephenB_thoryatPskov.png,religious
StillLifeofaLamb_sHeadandFlanks.png,religious
StillLifewithOldShoe.png,religious
StillLifewithSweets.png,religious
StormySeain_tretat.png,religious
Surf_IslesofShoals.png,religious
SurrenderofGeneralBurgoyne.png,religious
Tampuhan_painting_.png,religious
TeethTracks.png,religious
TheAdorationoftheGoldenCalf.png,religious
