art_style,painting,emotion,utterance,repetition,artist_parsed,artwork_parsed,year_parsed,artist_key,artwork_key,link
Impressionism,marianne-north_red-sea-1880,awe,The red line is quite stunning in the way it crosses the entire sky.,47,Marianne North,Red Sea,1880.0,marianne north,red sea,https://uploads6.wikiart.org/images/marianne-north/red-sea-1880.jpg
Northern_Renaissance,joachim-wtewael_kitchen-scene-1605,disgust,Piles of dead fish and seafood are lying on the floor,47,Joachim Wtewael,Kitchen Scene,1605.0,joachim wtewael,kitchen scene,https://uploads4.wikiart.org/images/joachim-wtewael/kitchen-scene-1605.jpg
Impressionism,james-mcneill-whistler_battersea-reach-from-lindsey-houses,contentment,"The environment looks calm and peaceful, like early morning fog.",48,James Mcneill Whistler,Battersea Reach From Lindsey Houses,,james mcneill whistler,battersea reach from lindsey houses,https://uploads1.wikiart.org/images/james-mcneill-whistler/battersea-reach-from-lindsey-houses.jpg
Abstract_Expressionism,taro-yamamoto_untitled-1974,amusement,Vivid blues and Oranges in whirling patterns give this painting a fun feel.,49,Taro Yamamoto,Untitled,1974.0,taro yamamoto,untitled,https://uploads6.wikiart.org/images/taro-yamamoto/untitled-1976.jpg
Expressionism,georges-braque_bird-in-the-foliage-1961,awe,I feel awe at this photo's mysterious black imagery.,52,Georges Braque,Bird In The Foliage,1961.0,georges braque,bird in the foliage,https://uploads0.wikiart.org/images/georges-braque/bird-in-the-foliage-1961.jpg
Expressionism,ion-pacea_midnight-sun,amusement,The landscape has folk art appeal and reminds me of illustrations commonly seen in children's books.,58,Ion Pacea,Midnight Sun,,ion pacea,midnight sun,https://uploads1.wikiart.org/images/ion-pacea/midnight-sun.jpg
Post_Impressionism,ion-pacea_white-flowers-and-apples,something else,"it makes me feel confused. the flowers, if thats what they are look very strange and unreal.",55,Ion Pacea,White Flowers And Apples,,ion pacea,white flowers and apples,https://uploads4.wikiart.org/images/ion-pacea/white-flowers-and-apples.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,awe,The blind man on the cliff appears to be in no peril despite the steep bluffs in this bright painting.,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Abstract_Expressionism,sam-francis_blue-and-red-balls-1962,anger,"This looks like a random mess, like a stained ceiling tile. This is not art.",47,Sam Francis,Blue And Red Balls,1962.0,sam francis,blue and red balls,https://uploads5.wikiart.org/images/sam-francis/blue-and-red-balls-1962.jpg
Baroque,joseph-wright_reverend-basil-bury-beridge,contentment,The painting represents relaxing why posing. The man is calmed and relaxed.,52,Joseph Wright,Reverend Basil Bury Beridge,,joseph wright,reverend basil bury beridge,https://uploads2.wikiart.org/images/joseph-wright/reverend-basil-bury-beridge.jpg
Art_Nouveau_Modern,konstantin-somov_summer,amusement,The way the figures are positioned against the rock they seem to be hiding.,53,Konstantin Somov,Summer,,konstantin somov,summer,https://uploads2.wikiart.org/images/konstantin-somov/summer.jpg
Post_Impressionism,maurice-de-vlaminck_landscape-with-three-cypresses,something else,its like that tree is dividing the town into 2 halves,44,Maurice De Vlaminck,Landscape With Three Cypresses,,maurice de vlaminck,landscape with three cypresses,https://uploads2.wikiart.org/images/maurice-de-vlaminck/landscape-with-three-cypresses.jpg
Impressionism,camille-pissarro_wash-house-at-bougival-1872,contentment,The sight of people relaxing by the river reminds me of the idyllic rural life.,46,Camille Pissarro,Wash House At Bougival,1872.0,camille pissarro,wash house at bougival,https://uploads5.wikiart.org/images/camille-pissarro/wash-house-at-bougival-1872.jpg
Art_Nouveau_Modern,nicholas-roerich_holy-lake-1917,contentment,The man walking through a road in the cliffs gives off a sense of adventure.,53,Nicholas Roerich,Holy Lake,1917.0,nicholas roerich,holy lake,https://uploads1.wikiart.org/images/nicholas-roerich/holy-lake-1917.jpg
Art_Nouveau_Modern,koloman-moser_pisces,excitement,The young pollywog swims around other frog eggs.,45,Koloman Moser,Pisces,,koloman moser,pisces,https://uploads1.wikiart.org/images/koloman-moser/pisces-1.jpg
Realism,fyodor-vasilyev_abandoned-mill-1873,awe,"Darker tones make this peaceful yet slightly mysterious, almost night time and we should be weary to be quiet.",44,Fyodor Vasilyev,Abandoned Mill,1873.0,fyodor vasilyev,abandoned mill,https://uploads5.wikiart.org/images/fyodor-vasilyev/abandoned-mill-1873.jpg
Cubism,willi-baumeister_machine-man-with-spiral-turn-1930,awe,"This painting is very geometric, reminding me of how talented engineers and mathematicians are",50,Willi Baumeister,Machine Man With Spiral Turn,1930.0,willi baumeister,machine man with spiral turn,https://uploads2.wikiart.org/images/willi-baumeister/machine-man-with-spiral-turn-1930.jpg
Realism,eugene-boudin_the-port-portrieux-1873,excitement,The dark boats and the cloudy skies seem to forebode an impeding battle.,47,Eugene Boudin,The Port Portrieux,1873.0,eugene boudin,the port portrieux,https://uploads7.wikiart.org/images/eugene-boudin/the-port-portrieux-1873.jpg
Abstract_Expressionism,sam-francis_untitled-1969,disgust,It looks like this is where they put their brushes in between painting. not artsy to me.,48,Sam Francis,Untitled,1969.0,sam francis,untitled,https://uploads6.wikiart.org/images/sam-francis/untitled-1969-3.jpg
Symbolism,nicholas-roerich_flying-carpet,contentment,He is floating through a sea of blue sky on his magic carpet and it feels like he is traveling into a dream,49,Nicholas Roerich,Flying Carpet,,nicholas roerich,flying carpet,https://uploads5.wikiart.org/images/nicholas-roerich/flying-carpet-1916.jpg
Art_Nouveau_Modern,konstantin-somov_rest-after-a-walk,disgust,How shameful that these two people couldn't just cut back and not be fake even for a moment.,46,Konstantin Somov,Rest After A Walk,,konstantin somov,rest after a walk,https://uploads4.wikiart.org/images/konstantin-somov/rest-after-a-walk.jpg
Naive_Art_Primitivism,tarsila-do-amaral_brazilian-religion-1927,amusement,"Happy mom's in the land of flowers, but in a cartoon way.",48,Tarsila Do Amaral,Brazilian Religion,1927.0,tarsila do amaral,brazilian religion,https://uploads2.wikiart.org/images/tarsila-do-amaral/brazilian-religion-1927.jpg
